@relation ''
@attribute Protoss_Cyber1 real
@attribute Protoss_Robo1 real
@attribute Protoss_Adun real
@attribute Protoss_Observertory real
@attribute Protoss_Dragon_num real
@attribute Protoss_Zealot_num real
@attribute Protoss_Gateway1_time real
@attribute Protoss_Gateway2_time real
@attribute Protoss_Gateway3_time real
@attribute Protoss_Nexus1_time real
@attribute Protoss_Nexus2_time real
@attribute Protoss_Templar_archive_time real
@attribute Protoss_Probe_num real
@attribute Protoss_Pylon_num real
@attribute Protoss_gas_time real
@attribute class {3gate, observer,dark,nexus}
@data
1,0,0,0,0,7,1,1,1,1,0,0,17,2,1,3gate
0,0,0,0,0,7,1,1,0,1,1,0,22,4,1,nexus
1,0,0,0,0,3,1,0,0,1,0,0,20,3,1,observer
1,0,0,0,1,4,1,1,0,1,0,0,24,4,1,observer
1,0,0,0,2,0,1,1,1,1,0,0,17,2,1,3gate
0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,dark
0,0,0,0,0,3,1,1,0,1,0,0,16,2,0,nexus
0,0,0,0,1,1,1,0,0,1,0,0,19,2,1,dark
1,0,0,0,3,1,1,1,0,1,0,0,20,3,1,3gate
1,0,0,0,0,1,1,0,0,1,0,0,16,2,1,nexus
1,0,0,0,2,2,1,0,0,1,0,0,18,3,1,3gate
1,0,0,0,2,2,1,0,0,1,0,0,18,3,1,nexus
0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3gate
1,0,0,0,0,2,1,0,0,1,0,0,18,3,1,observer
1,0,0,0,2,3,1,0,0,1,0,0,22,2,1,observer
1,0,0,0,3,0,1,1,0,1,0,0,17,2,1,3gate
0,0,0,0,0,0,1,1,0,1,0,0,17,2,0,3gate
1,0,0,0,1,1,1,1,0,1,0,0,20,3,1,observer
